feature,feature_order,feature_type,source_column,transformation,missing_value_rule,category_rule,winsorization_rule,log_transform_rule,interaction_rule,timing_rule,source_stage,code_reference,rebuild_status
revol_bal,14,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
mort_acc,15,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
application_type,16,OBSERVED_BRIDGE_FIELD,application_type,Observed value in D1 only; frozen transformation not proven,not applicable,D1 representation only,not applicable,not applicable,not applicable,not proven,Block D D1 bridge,src/build_block_d_d1_mart.py,BLOCKED_NOT_RECONSTRUCTED
loan_to_income,17,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
log_revenue,18,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
log_loan_amnt,19,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
fico_x_dti,20,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
open_to_total_acc,21,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
revol_bal_to_income,22,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
has_public_record,23,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
has_bankruptcy,24,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
term,25,OBSERVED_BRIDGE_FIELD,term,Observed value in D1 only; frozen transformation not proven,not applicable,D1 representation only,not applicable,not applicable,not applicable,not proven,Block D D1 bridge,src/build_block_d_d1_mart.py,BLOCKED_NOT_RECONSTRUCTED
installment,26,OBSERVED_BRIDGE_FIELD,installment,Observed value in D1 only; frozen transformation not proven,not applicable,D1 representation only,not applicable,not applicable,not applicable,not proven,Block D D1 bridge,src/build_block_d_d1_mart.py,BLOCKED_NOT_RECONSTRUCTED
int_rate,27,OBSERVED_BRIDGE_FIELD,int_rate,Observed value in D1 only; frozen transformation not proven,not applicable,D1 representation only,not applicable,not applicable,not applicable,not proven,Block D D1 bridge,src/build_block_d_d1_mart.py,BLOCKED_NOT_RECONSTRUCTED
verification_status,28,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
time_to_earliest_cr_line,29,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
installment_to_income,30,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
installment_to_loan,31,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
fico_x_revol_util,32,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
dti_x_revol_util,33,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
revol_bal_per_open_acc,34,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
has_mortgage_account,35,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
credit_history_log,36,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
fico_source_midpoint,37,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
fico_source_width,38,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
inq_last_6mths,39,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
acc_open_past_24mths,40,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
bc_util,41,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
bc_open_to_buy,42,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
avg_cur_bal,43,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
tot_cur_bal,44,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
tot_hi_cred_lim,45,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
total_bal_ex_mort,46,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
total_bc_limit,47,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
total_rev_hi_lim,48,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
num_accts_ever_120_pd,49,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
num_tl_90g_dpd_24m,50,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
pct_tl_nvr_dlq,51,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
percent_bc_gt_75,52,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
mths_since_recent_inq,53,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
mths_since_last_delinq,54,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
mths_since_last_major_derog,55,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
mo_sin_old_rev_tl_op,56,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
mo_sin_rcnt_tl,57,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
mo_sin_rcnt_rev_tl_op,58,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
num_actv_bc_tl,59,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
num_actv_rev_tl,60,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
num_bc_tl,61,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
num_il_tl,62,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
num_rev_accts,63,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
num_sats,64,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
num_tl_op_past_12m,65,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
delinq_2yrs,66,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
collections_12_mths_ex_med,67,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
chargeoff_within_12_mths,68,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
tax_liens,69,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
tot_coll_amt,70,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
total_il_high_credit_limit,71,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
bc_available_ratio,72,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
nonmort_balance_to_income,73,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
total_balance_to_income,74,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
recent_open_share,75,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
very_recent_open_share,76,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
inquiry_pressure,77,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
has_recent_90dpd,78,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
has_ever_120pd,79,FROZEN_FEATURE,UNAVAILABLE,NO_FROZEN_RULE_AVAILABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NO_REPOSITORY_OR_DRIVE_REFERENCE_FOUND,BLOCKED
