dimension,segment,accounts,good_accounts,bad_accounts,bad_rate,loan_amount,loan_amount_share,bad_associated_loan_amount,bad_associated_share,account_share,relative_bad_rate,primary_segment,wilson_lower_95,wilson_upper_95
addr_state,WA,29218,24605,4613,0.157882127455678,431431450.0,0.022218464796714278,71740675.0,0.0036946023800073454,0.021680204736877644,0.7902526784188451,True,,
addr_state,MN,24001,19259,4742,0.19757510103745676,335233100.0,0.017264306603154214,72398300.0,0.003728469678999895,0.017809110612971468,0.9889292429730873,True,,
addr_state,IN,21720,17064,4656,0.2143646408839779,304688975.0,0.015691302210315117,70752975.0,0.0036437364135143723,0.016116573580839975,1.0729664867507782,True,,
addr_state,MO,21328,16777,4551,0.2133814703675919,295763525.0,0.015231646808234826,67960900.0,0.003499946200498409,0.015825703560412293,1.0680453905732858,True,,
addr_state,TN,20393,16025,4368,0.21419114402000686,288234175.0,0.014843889731375593,64648450.0,0.003329356982406227,0.015131919200463612,1.0720980771108783,True,,
addr_state,NV,20282,15825,4457,0.21975150379646977,279088250.0,0.014372879997046097,64312700.0,0.0033120660557584437,0.01504955549569965,1.0999295313554747,True,,
addr_state,CT,19787,16347,3440,0.1738515186738768,288305050.0,0.014847539752004518,55932050.0,0.002880467531824726,0.014682257893373877,0.8701848049126607,True,,
addr_state,WI,17782,14515,3267,0.18372511528511978,244580150.0,0.012595733233518551,48076925.0,0.002475933234924743,0.013194517100114938,0.9196054473463803,True,,
addr_state,AL,16640,12707,3933,0.23635817307692308,232062625.0,0.01195108809104113,59256975.0,0.003051699205047008,0.012347135561011842,1.1830514469895181,True,,
addr_state,OR,16415,14049,2366,0.14413646055437102,222096500.0,0.011437838541264093,32725575.0,0.0016853477790961526,0.012180182105409217,0.7214510334165597,True,,
addr_state,SC,16004,13398,2606,0.1628342914271432,226860350.0,0.011683174001907557,41051850.0,0.0021141460226531818,0.01187521379317509,0.8150399099154455,True,,
addr_state,LA,15520,11924,3596,0.23170103092783506,221115275.0,0.01138730603344586,57134600.0,0.0029423981463900036,0.011516078359789891,1.1597408980603667,True,,
addr_state,KY,12868,10165,2703,0.21005595275101024,175609500.0,0.009043785504553727,40542225.0,0.002087900636226148,0.009548253629753629,1.05140006633055,True,,
addr_state,OK,12291,9407,2884,0.23464323488731592,175137850.0,0.009019495808192068,44813250.0,0.0023078559005175817,0.009120110768052678,1.1744676096705013,True,,
addr_state,KS,11262,9375,1887,0.1675546084176878,158090050.0,0.008141544179581251,28740175.0,0.0014801020335650258,0.008356576964430009,0.838666669985619,True,,
addr_state,AR,10058,7633,2425,0.24110161065818253,135723425.0,0.00698967620569152,35524725.0,0.0018295023504323934,0.007463190473116413,1.2067939333235411,True,,
addr_state,UT,10045,8328,1717,0.17093081134892982,146295875.0,0.007534151134767788,27502400.0,0.0014163573523097463,0.007453544273459372,0.8555656911243388,True,,
addr_state,NM,7374,5798,1576,0.21372389476539191,105021550.0,0.00540854778104695,24619775.0,0.001267903867788327,0.005471621251616666,1.0697593388325237,True,,
addr_state,HI,6763,5396,1367,0.2021292325890877,102588275.0,0.00528323555606144,23222700.0,0.0011959553306432728,0.005018249867735762,1.0117241895230598,True,,
addr_state,MS,6593,4871,1722,0.26118610647656604,92173700.0,0.004746891096216798,26630550.0,0.0013714575923756587,0.004892107256836002,1.3073235301243273,True,,
addr_state,NH,6463,5521,942,0.14575274640259941,92548950.0,0.004766216249529027,14563800.0,0.0007500270960922932,0.004795645260265597,0.729541082880908,True,,
addr_state,RI,5879,4828,1051,0.1787718999829903,80032450.0,0.004121623893946062,15326425.0,0.0007893018330536209,0.004362308291057008,0.8948129535893407,True,,
addr_state,WV,4888,4129,759,0.15527823240589197,68878050.0,0.003547178883670455,12185275.0,0.0006275344637619315,0.0036269710710472285,0.7772193156780709,True,,
addr_state,MT,3831,3181,650,0.16966849386583138,51293700.0,0.0026415952470391834,9741900.0,0.000501702094743234,0.0028426608373940125,0.8492473713239326,True,,
addr_state,DE,3804,3054,750,0.1971608832807571,53836725.0,0.0027725595321872977,11634800.0,0.0005991853264679969,0.0028226264227216974,0.986855945020015,True,,
addr_state,NE,3591,2686,905,0.25201893622946253,47921625.0,0.002467935376671874,13014425.0,0.0006702351989220493,0.00266457715141788,1.2614387871325736,True,,
addr_state,DC,3485,3024,461,0.13228120516499284,52769700.0,0.002717608375057436,7333800.0,0.00037768636738499977,0.0025859235234450884,0.6621115282060944,True,,
addr_state,AK,3194,2566,628,0.19661865998747652,52592300.0,0.002708472379860662,10913750.0,0.0005620516774452591,0.0023699970541990276,0.9841419366853075,True,,
addr_state,WY,2926,2436,490,0.1674641148325359,43946000.0,0.002263193037865936,7978300.0,0.00041087773663145216,0.002171136938192347,0.8382137194256128,True,,
addr_state,SD,2770,2179,591,0.21335740072202167,37409800.0,0.0019265825992799592,8783425.0,0.0004523411984849044,0.0020553825423078606,1.0679249139735147,True,,
addr_state,VT,2655,2284,371,0.13973634651600753,35215925.0,0.001813599332863263,5357350.0,0.0002759003600193663,0.001970050776110964,0.6994269958627127,True,,
addr_state,ME,2029,1748,281,0.1384918679152292,28299475.0,0.0014574062439189257,4410900.0,0.00022715874415698485,0.0015055491618565522,0.693197965614966,True,,
addr_state,ID,1689,1371,318,0.1882770870337478,22928600.0,0.0011808093543897715,4531450.0,0.0002333669979392344,0.0012532639400570313,0.9423895833623459,True,,
addr_state,ND,1601,1273,328,0.20487195502810743,23335600.0,0.00120176961394494,5134475.0,0.00026442242918801943,0.0011879665885324495,1.0254524296254948,True,,
addr_state,IA,14,11,3,0.21428571428571427,114075.0,5.874795107508229e-06,29400.0,1.5140826312578737e-06,1.0388215015274387e-05,1.0725714328160392,False,,
dti_band,10–19.99,563230,462713,100517,0.17846528061360367,8226897500.0,0.4236803610166266,1580598025.0,0.08139986451200674,0.4179253102180709,0.8932782214330305,True,,
dti_band,20–29.99,410172,315526,94646,0.2307471012160752,6034943250.0,0.31079601209020213,1481385400.0,0.0762904729367006,0.30435392351750895,1.1549661618575424,True,,
dti_band,<10,245174,208786,36388,0.14841704259016045,3311464900.0,0.17053848602415278,546061700.0,0.028121854951195496,0.18192287343963445,0.742876773451155,True,,
dti_band,30–39.99,122297,86687,35610,0.2911763984398636,1725941125.0,0.0888849482971488,540795925.0,0.027850670649576043,0.0907462522659294,1.4574349387586725,True,,
dti_band,40–59.99,5089,3498,1591,0.312635095303596,84915150.0,0.00437308005937609,26981150.0,0.001389513285250455,0.003776116158052239,1.5648428698856658,True,,
dti_band,60–99.99,1184,830,354,0.2989864864864865,22804550.0,0.0011744208526752293,7199475.0,0.0003707687092406558,0.0008785461841489195,1.496527032949406,True,,
dti_band,100+,535,392,143,0.2672897196261682,10732000.0,0.0005526916598183504,2999025.0,0.00015444801575537905,0.00039697821665512833,1.3378741485967043,False,,
emp_length,10+ years,442667,359454,83213,0.1879810331468124,6914420025.0,0.35608854643109294,1413617475.0,0.07280046483469767,0.328465712583319,0.9409077349677409,True,,
emp_length,2 years,122091,97894,24197,0.1981882366431596,1678195875.0,0.08642609612877923,364038300.0,0.01874775738580419,0.09059339710213322,0.9919981910703103,True,,
emp_length,< 1 year,108517,86228,22289,0.20539638950579173,1494272050.0,0.07695412779860873,331650725.0,0.01707981640702658,0.08052128062946647,1.0280773990081855,True,,
emp_length,3 years,107862,86304,21558,0.1998664960783223,1495181475.0,0.07700096264884451,325933275.0,0.016785371109744766,0.08003526056982327,1.0003984389963547,True,,
emp_length,1 year,88841,70552,18289,0.2058621582377506,1195051525.0,0.06154444753267804,267646450.0,0.013783634056558806,0.06592138644085656,1.0304087267771096,True,,
emp_length,5 years,84326,67781,16545,0.19620283186680265,1192750625.0,0.06142595254198889,257086625.0,0.013239809307524022,0.06257118709843057,0.9820605783237244,True,,
emp_length,4 years,80761,64805,15956,0.19757060957640446,1130956625.0,0.05824359804824913,243594850.0,0.012544990865607722,0.05992590234632676,0.9889067617132778,True,,
emp_length,NI,78188,57111,21077,0.269568220187241,896627375.0,0.046175780108770076,251081900.0,0.012930569517456678,0.05801669682959098,1.3492788034501937,True,,
emp_length,6 years,62877,50694,12183,0.19375924423875185,900680350.0,0.04638450592687968,190677250.0,0.009819765727925693,0.046655699679671966,0.9698296076677178,True,,
emp_length,8 years,60808,48676,12132,0.19951322194448098,894778825.0,0.046080580875844504,194805825.0,0.010032384901372818,0.04512046990348606,0.9986301841914366,True,,
emp_length,7 years,59724,48072,11652,0.19509744826200523,868369450.0,0.04472051366530451,182902200.0,0.00941935524621952,0.04431612525516053,0.9765277648986161,True,,
emp_length,9 years,51019,40861,10158,0.19910229522334816,756414275.0,0.038954888292959754,162985825.0,0.008393673699786915,0.037856881561734564,0.9965733589684533,True,,
experience_c,1,1347656,1078410,269246,0.19978837329407503,19417610475.0,0.999995468051988,4186010325.0,0.21557705875335464,0.9999814496160442,1.0000074084187216,True,,
experience_c,0,25,22,3,0.12,88000.0,4.531948011928329e-06,10375.0,5.343063707245047e-07,1.8550383955847117e-05,0.6006400023769819,False,,
fico_band,680–719,608501,488229,120272,0.19765292086619413,9090548850.0,0.4681578953192598,1942507025.0,0.10003796420574504,0.4515170875006771,0.9893187571574021,True,,
fico_band,640–679,460588,344051,116537,0.2530178814906163,5984514900.0,0.3081989818569371,1679498850.0,0.08649319857151608,0.3417633698182285,1.2664388411661893,True,,
fico_band,720–759,201591,175564,26027,0.12910794628728464,3183004200.0,0.1639228358653355,448764450.0,0.023111104056836477,0.14958361808172704,0.6462283097073492,True,,
fico_band,760–799,61539,56124,5415,0.08799298006142446,921663325.0,0.047465116743193224,96483050.0,0.0049688200753668366,0.045662883130355034,0.44043419794376426,True,,
fico_band,800+,15445,14455,990,0.06409841372612496,237917625.0,0.012252617132062042,18735875.0,0.0009648864938407691,0.01146042720792235,0.3208339281068372,True,,
fico_band,600–639,17,9,8,0.47058823529411764,49575.0,2.5530832124016696e-06,31450.0,1.619656420172113e-06,1.261426108997604e-05,2.3554509897136544,False,,
home_ownership_n,MORTGAGE,666594,551759,114835,0.17227127756925506,10642135750.0,0.5480637040327716,1998283800.0,0.10291043516680212,0.49462298570655816,0.8622751714056923,True,,
home_ownership_n,RENT,535585,411177,124408,0.23228432461700757,6762017450.0,0.34823990385400194,1740724275.0,0.0896462717886549,0.39741229563969516,1.162660477417459,True,,
home_ownership_n,OWN,144985,115081,29904,0.20625581956754147,2006933850.0,0.10335590763158145,445678000.0,0.022952153705229475,0.10758109671353977,1.032379132960954,True,,
home_ownership_n,OTHER,517,415,102,0.19729206963249515,6611425.0,0.00034048448164503695,1334625.0,6.87323990388619e-05,0.0003836219402069184,0.9875125764418464,False,,
loan_amount_band,Q3 (>50th–75th percentile),369729,288553,81176,0.21955540409326832,6097160350.0,0.3140001559839856,1340697625.0,0.06904513563881572,0.27434459638445596,1.0989479869704992,True,,
loan_amount_band,Q2 (>25th–50th percentile),348870,283231,65639,0.18814744747327083,3523813100.0,0.18147429287445457,668270000.0,0.03441551020376528,0.25886689802705537,0.9417406941464039,True,,
loan_amount_band,Q1 (≤25th percentile),337154,282960,54194,0.1607396026741489,1666590775.0,0.08582844033476526,272384275.0,0.014027629245077151,0.25017344608998715,0.8045552944356328,True,,
loan_amount_band,Q4 (>75th percentile),291928,223688,68240,0.23375626866898688,8130134250.0,0.4186971108067945,1904668800.0,0.09808931797206723,0.2166150594985015,1.1700280480747893,True,,
purpose,debt_consolidation,781206,615948,165258,0.21154215405411633,11893122000.0,0.612488756858194,2679040900.0,0.13796902364351912,0.5796668499444602,1.0588389992824694,True,,
purpose,credit_card,295551,245511,50040,0.16931088035567465,4375482650.0,0.22533477155561815,784535600.0,0.04040311991712499,0.21930338114138287,0.8474573964940111,True,,
purpose,home_improvement,87684,72114,15570,0.17756945394826879,1239111700.0,0.06381352051559241,248674175.0,0.012806573102376902,0.06506287467137994,0.8887943103463962,True,,
purpose,other,78263,61762,16501,0.2108403715676629,767930650.0,0.03954797480189011,188299725.0,0.009697324595004558,0.05807234798145852,1.0553263439963734,True,,
purpose,major_purchase,29543,24047,5496,0.18603391666384592,349124950.0,0.017979728671216787,82536600.0,0.004250586139560497,0.021921359728303655,0.9311617678930972,True,,
purpose,medical,15606,12197,3409,0.2184416250160195,140297975.0,0.007225262828168414,34821200.0,0.0017932712285563493,0.011579891680598005,1.0933731514071146,True,,
purpose,small_business,15575,10925,4650,0.2985553772070626,243466000.0,0.012538355166728894,79231350.0,0.004080367717214746,0.011556889204492755,1.4943691872942568,True,,
purpose,car,14647,12494,2153,0.146992558203045,129434075.0,0.006665778396273094,22475400.0,0.0011574698221283406,0.01086829895205171,0.7357467542372966,True,,
purpose,moving,9520,7291,2229,0.23413865546218487,74760275.0,0.003850109996107559,19976325.0,0.0010287689360157293,0.007063986210386583,1.171942021444584,True,,
purpose,vacation,9083,7340,1743,0.1918969503468017,56215325.0,0.002895056026973351,14273600.0,0.000735081967534775,0.006739725498838375,0.960508205936988,True,,
purpose,house,7294,5696,1598,0.21908417877707706,111995475.0,0.005767700798536579,25714350.0,0.0013242738336423777,0.005412260022957955,1.0965893471785224,True,,
purpose,wedding,2350,2058,292,0.12425531914893617,24594750.0,0.001266615095072435,3409350.0,0.00017557951084622557,0.001743736091849629,0.621939293241414,True,,
purpose,renewable_energy,936,714,222,0.23717948717948717,9364050.0,0.0004822430429670167,2386400.0,0.00012289819017802006,0.0006945263753069161,1.1871623978604877,False,,
purpose,educational,423,335,88,0.20803782505910165,2798600.0,0.00014412624666116616,645725.0,3.325445602275478e-05,0.00031387249653293324,1.0412986644833413,False,,
revenue_band,Q2 (>25th–50th percentile),348634,274856,73778,0.21162020915917554,4410645775.0,0.22714565171967427,1057425900.0,0.05445680915075596,0.25869178240251217,1.059229691103205,True,,
revenue_band,Q1 (≤25th percentile),337001,259243,77758,0.23073522037026598,2956523900.0,0.15225923421390444,749853100.0,0.038616991656628345,0.2500599177401774,1.15490669426375,True,,
revenue_band,Q4 (>75th percentile),336880,281502,55378,0.1643849441937782,6859768350.0,0.3532740174553565,1244560450.0,0.06409412792161508,0.2499701338818311,0.8228014439274248,True,,
revenue_band,Q3 (>50th–75th percentile),325166,262831,62335,0.19170208447377646,5190760450.0,0.2673210966110648,1134181250.0,0.058409664330725995,0.24127816597547935,0.9595328372833457,True,,
fico_band,<600,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,
